source,title,description,content,published_at,fetched_at,sentiment,sentiment_score,event_type,event_confidence,Date,index_close,ret_1d,ret_3d,ret_7d
Financial Post,Bragg Gaming Group Extends a Turnkey Solution Deal with Senator Group,"Multi-year partnership includes Bragg’s full turnkey solution with PAM, HUB, exclusive content, and Fuze™ player engagement tools TORONTO — Bragg Gaming Group ( NASDAQ: BRAG, TSX: BRAG) (“Bragg” or the “Company”) today announced it has extended a comprehensiv…","Multi-year partnership includes Braggs full turnkey solution with PAM, HUB, exclusive content, and Fuze player engagement tools
THIS CONTENT IS RESERVED FOR SUBSCRIBERS ONLY
Subscribe now to read t… [+8037 chars]",2026-02-04,2026-02-05T13:40:42.923435,positive,0.9448883533477784,Corporate,0.788960337638855,2026-02-04,25776.0,-0.00516756745616076,,
Globalresearch.ca,European Officials Accuse Von Der Leyen of Authoritarianism,"Apparently, Ursula von der Leyen’s work at the European Commission is no longer pleasing veteran European officials. Her erratic stance, often endorsing escalatory and dangerous positions, seems to pose serious risks to European stability. Von der Leyen has i…","Apparently, Ursula von der Leyen’s work at the European Commission is no longer pleasing veteran European officials. Her erratic stance, often endorsing escalatory and dangerous positions, seems to p… [+5539 chars]",2026-02-04,2026-02-05T13:40:42.923481,negative,0.877493679523468,Politics,0.7649102210998535,2026-02-04,25776.0,-0.00516756745616076,,
Yahoo Entertainment,Legacy Ridge Capital Management’s Investment Approach in Polaris (PII),"Legacy Ridge Capital Management, an investment management company, released its Q4 2025 investor letter. A copy of the letter can be downloaded here. The...","Legacy Ridge Capital Management, an investment management company, released its Q4 2025 investor letter. A copy of the letter can be downloaded here. The Partnership returned 7% net of a 1% performan… [+3216 chars]",2026-02-04,2026-02-05T13:40:42.923492,neutral,0.8832922577857971,Corporate,0.2511129975318908,2026-02-04,25776.0,-0.00516756745616076,,
Fair Observer,Dollar Milkshake Theory Is Still Useful,"In 2018, investment manager Brent Johnson introduced the Dollar Milkshake Theory to answer a big puzzle in modern economics: Why does the dollar grow stronger during crises, even when the US is printing money? Johnson argues that a strong US dollar (the straw…","In 2018, investment manager Brent Johnson introduced the Dollar Milkshake Theory to answer a big puzzle in modern economics: Why does the dollar grow stronger during crises, even when the US is print… [+15153 chars]",2026-02-04,2026-02-05T13:40:42.923499,neutral,0.7584060430526733,Monetary Policy,0.1952734440565109,2026-02-04,25776.0,-0.00516756745616076,,
Ibtimes.com.au,AMD CEO Lisa Su Confirms Valve's Steam Machine On Track for Early 2026 Shipping,"Advanced Micro Devices Inc. (AMD) CEO Dr. Lisa Su said Tuesday that Valve Corp. remains on schedule to begin shipping its long-awaited AMD-powered Steam Machine in the early months of 2026, providing the strongest third-party confirmation yet of the device's …","Advanced Micro Devices Inc. (AMD) CEO Dr. Lisa Su said Tuesday that Valve Corp. remains on schedule to begin shipping its long-awaited AMD-powered Steam Machine in the early months of 2026, providing… [+4602 chars]",2026-02-04,2026-02-05T13:40:42.923505,neutral,0.7536059617996216,Corporate,0.3575002253055572,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,"Massive MIMO Market Report 2026: $50+ Bn Opportunities, Trends, Competitive Landscape, Strategies, and Forecasts, 2020-2025, 2025-2030F, 2035F","Key opportunities in the massive MIMO market include the rising deployment of 5G networks, increasing demand for high-capacity antenna arrays, growing smart city projects, and advancements in energy-efficient technologies. Regional manufacturing and innovatio…","Dublin, Feb. 04, 2026 (GLOBE NEWSWIRE) -- The ""Massive MIMO Market Report 2026"" has been added to ResearchAndMarkets.com's offering.
The global massive MIMO market is experiencing a substantial surg… [+4670 chars]",2026-02-04,2026-02-05T13:40:42.923512,neutral,0.8981022238731384,Global Trade,0.2708843350410461,2026-02-04,25776.0,-0.00516756745616076,,
Fair Observer,"The Politics of Cheapness: Japan’s Consumption-Tax Truce, the Yen’s Fragility and the Long Shadow of a Weaker Dollar","In politics, there are few ideas more seductive than cheapness. Not efficiency, not reform, not even growth — but the promise that tomorrow will cost less than today. Cheapness is democratic. It asks nothing of voters except gratitude. It allows leaders to ap…","In politics, there are few ideas more seductive than cheapness. Not efficiency, not reform, not even growth but the promise that tomorrow will cost less than today. Cheapness is democratic. It asks n… [+11754 chars]",2026-02-04,2026-02-05T13:40:42.923517,neutral,0.5019510984420776,Politics,0.9499187469482422,2026-02-04,25776.0,-0.00516756745616076,,
Cointelegraph,"Crypto investors prioritize infrastructure over DeFi, survey finds",A survey of 242 crypto investors and executives shows capital shifting toward infrastructure as IPO expectations cool and regulatory sentiment improves.,"A survey of senior crypto investors and executives suggests capital priorities are shifting away from decentralized finance (DeFi) and toward core infrastructure, as decision-makers focus on liquidit… [+2531 chars]",2026-02-04,2026-02-05T13:40:42.923537,neutral,0.8888905048370361,Corporate,0.2143810987472534,2026-02-04,25776.0,-0.00516756745616076,,
Yahoo Entertainment,"SharpLink Gaming announces corporate name change to Sharplink, Inc.","Sharplink, Inc. has officially changed its corporate name to Sharplink, Inc., effective February 3. The name change reflects the Company’s continued...","Sharplink, Inc. has officially changed its corporate name to Sharplink, Inc., effective February 3. The name change reflects the Companys continued evolution and broader strategic focus. The change w… [+541 chars]",2026-02-04,2026-02-05T13:40:42.923543,neutral,0.9166682362556458,Corporate,0.952597439289093,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,"Smart Gas Meter Market Report 2026: $6.72 Bn Opportunities, Trends, Competitive Landscape, Strategies, and Forecasts, 2020-2025, 2025-2030F, 2035F","Key market opportunities for smart gas meters include rising demand for smart homes, adoption of ultrasonic and IoT-connected meters, and AI-based consumption forecasting. The expansion of cloud and AMI-based infrastructures enhances efficiency, while ongoing…","Dublin, Feb. 04, 2026 (GLOBE NEWSWIRE) -- The ""Smart Gas Meter Market Report 2026"" has been added to ResearchAndMarkets.com's offering.
The smart gas meter market has experienced significant growth … [+4045 chars]",2026-02-04,2026-02-05T13:40:42.923549,neutral,0.9014967083930968,Global Trade,0.3167387247085571,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,FrankCrum Deepens Market Presence in the Southeast with Strategic Expansion in Georgia,"FrankCrum expands its sales presence in Georgia to meet growing demand for HR, payroll, and multi-state compliance expertise....","CLEARWATER, Fla., Feb. 04, 2026 (GLOBE NEWSWIRE) -- FrankCrum, a professional employer organization (PEO) with nearly 45 years of experience supporting small and mid-sized businesses, today announced… [+2831 chars]",2026-02-04,2026-02-05T13:40:42.923559,positive,0.840666651725769,Corporate,0.3917774558067322,2026-02-04,25776.0,-0.00516756745616076,,
The Conversation Africa,Sierra Leoneans who live off the sea don’t trust farmed fish – but wild fish are in decline,"Wild fish sustain life in Sierra Leone’s fishing towns, but declining stocks mean fish farming is needed. However, fishing communities distrust farmed fish.","At dawn in Tombo, one of Sierra Leone’s largest fishing towns, small-scale fishers begin landing fish from the sea. A portion of the catch is sold at the landing sites, while the rest is taken home t… [+6952 chars]",2026-02-04,2026-02-05T13:40:42.923565,neutral,0.8815469145774841,Economics,0.2746839225292206,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,"Jacobs price target raised by $4 at RBC Capital, here's why","See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923570,neutral,0.7940849661827087,Corporate,0.4148542582988739,2026-02-04,25776.0,-0.00516756745616076,,
